company,year,mcap_usd
NVIDIA,2026,5534000000000
NVIDIA,2025,4638000000000
NVIDIA,2024,3288000000000
NVIDIA,2023,1223000000000
NVIDIA,2022,364180000000
NVIDIA,2021,735270000000
NVIDIA,2020,323240000000
NVIDIA,2019,144000000000
NVIDIA,2018,81430000000
NVIDIA,2017,117260000000
NVIDIA,2016,57530000000
NVIDIA,2015,17730000000
NVIDIA,2014,10890000000
NVIDIA,2013,9100000000
NVIDIA,2012,7660000000
NVIDIA,2011,8460000000
NVIDIA,2010,8940000000
NVIDIA,2009,10360000000
NVIDIA,2008,4330000000
NVIDIA,2007,18900000000
NVIDIA,2006,13150000000
NVIDIA,2005,6250000000
NVIDIA,2004,3910000000
NVIDIA,2003,2500000000
NVIDIA,2002,1200000000
NVIDIA,2001,6440000000
NVIDIA,2000,2220000000
NVIDIA,1999,960000000
Apple,2026,4979000000000
Apple,2025,3997000000000
Apple,2024,3766000000000
Apple,2023,2994000000000
Apple,2022,2066000000000
Apple,2021,2901000000000
Apple,2020,2255000000000
Apple,2019,1287000000000
Apple,2018,746070000000
Apple,2017,860880000000
Apple,2016,608960000000
Apple,2015,583610000000
Apple,2014,643120000000
Apple,2013,500740000000
Apple,2012,499690000000
Apple,2011,377510000000
Apple,2010,297090000000
Apple,2009,190980000000
Apple,2008,75990000000
Apple,2007,174030000000
Apple,2006,72980000000
Apple,2005,60790000000
Apple,2004,26050000000
Apple,2003,7880000000
Apple,2002,5160000000
Apple,2001,7710000000
Apple,2000,5130000000
Apple,1999,16570000000
Apple,1998,5540000000
Apple,1997,1680000000
Apple,1996,2600000000
Alphabet,2026,4264000000000
Alphabet,2025,3802000000000
Alphabet,2024,2365000000000
Alphabet,2023,1756000000000
Alphabet,2022,1145000000000
Alphabet,2021,1917000000000
Alphabet,2020,1185000000000
Alphabet,2019,921130000000
Alphabet,2018,723550000000
Alphabet,2017,729450000000
Alphabet,2016,539060000000
Alphabet,2015,528160000000
Alphabet,2014,359500000000
Microsoft,2026,3691000000000
Microsoft,2025,3625000000000
Microsoft,2024,3200000000000
Microsoft,2023,2794000000000
Microsoft,2022,1787000000000
Microsoft,2021,2522000000000
Microsoft,2020,1681000000000
Microsoft,2019,1200000000000
Microsoft,2018,780360000000
Microsoft,2017,659900000000
Microsoft,2016,483160000000
Microsoft,2015,439670000000
Microsoft,2014,381720000000
Microsoft,2013,310500000000
Microsoft,2012,223660000000
Microsoft,2011,218380000000
Microsoft,2010,234520000000
Microsoft,2009,268550000000
Microsoft,2008,172920000000
Microsoft,2007,332110000000
Microsoft,2006,291940000000
Microsoft,2005,271540000000
Microsoft,2004,290710000000
Microsoft,2003,295290000000
Microsoft,2002,276630000000
Microsoft,2001,358050000000
Microsoft,2000,230800000000
Microsoft,1999,604410000000
Microsoft,1998,348100000000
Microsoft,1997,157360000000
Microsoft,1996,99410000000
Amazon,2026,2752000000000
Amazon,2025,2485000000000
Amazon,2024,2352000000000
Amazon,2023,1570000000000
Amazon,2022,856940000000
Amazon,2021,1691000000000
Amazon,2020,1634000000000
Amazon,2019,920220000000
Amazon,2018,737460000000
Amazon,2017,563530000000
Amazon,2016,356310000000
Amazon,2015,318340000000
Amazon,2014,144310000000
Amazon,2013,183040000000
Amazon,2012,113890000000
Amazon,2011,78710000000
Amazon,2010,81180000000
Amazon,2009,59720000000
Amazon,2008,21990000000
Amazon,2007,38530000000
Amazon,2006,16330000000
Amazon,2005,19610000000
Amazon,2004,18140000000
Amazon,2003,21220000000
Amazon,2002,7320000000
Amazon,2001,4030000000
Amazon,2000,5550000000
Amazon,1999,26270000000
Amazon,1998,17050000000
Amazon,1997,1440000000
TSMC,2026,2332000000000
TSMC,2025,1570000000000
TSMC,2024,1045000000000
TSMC,2023,539380000000
TSMC,2022,386310000000
TSMC,2021,575930000000
TSMC,2020,488120000000
TSMC,2019,286570000000
TSMC,2018,191190000000
TSMC,2017,199410000000
TSMC,2016,145700000000
TSMC,2015,109640000000
TSMC,2014,115310000000
TSMC,2013,91390000000
TSMC,2012,86830000000
TSMC,2011,65310000000
TSMC,2010,63550000000
TSMC,2009,52210000000
TSMC,2008,40480000000
TSMC,2007,51040000000
TSMC,2006,56460000000
TSMC,2005,49010000000
TSMC,2004,39480000000
TSMC,2003,41510000000
TSMC,2002,26260000000
TSMC,2001,57800000000
TSMC,2000,40320000000
TSMC,1999,69030000000
TSMC,1998,17170000000
TSMC,1997,14840000000
Meta,2026,1887000000000
Meta,2025,1671000000000
Meta,2024,1514000000000
Meta,2023,909620000000
Meta,2022,319880000000
Meta,2021,921930000000
Meta,2020,778230000000
Meta,2019,585370000000
Meta,2018,374130000000
Meta,2017,512750000000
Meta,2016,331590000000
Meta,2015,296600000000
Meta,2014,216730000000
Meta,2013,139190000000
Meta,2012,63140000000
Broadcom,2026,1739000000000
Broadcom,2025,1669000000000
Broadcom,2024,1133000000000
Broadcom,2023,461010000000
Broadcom,2022,233650000000
Broadcom,2021,274730000000
Broadcom,2020,178070000000
Broadcom,2019,125710000000
