company,year,mcap_usd
nvidia,2026,"5,534,000,000,000.00"
nvidia,2025,"4,638,000,000,000.00"
nvidia,2024,"3,288,000,000,000.00"
nvidia,2023,"1,223,000,000,000.00"
nvidia,2022,"364,180,000,000.00"
nvidia,2021,"735,270,000,000.00"
nvidia,2020,"323,240,000,000.00"
nvidia,2019,"144,000,000,000.00"
nvidia,2018,"81,430,000,000.00"
nvidia,2017,"117,260,000,000.00"
nvidia,2016,"57,530,000,000.00"
nvidia,2015,"17,730,000,000.00"
nvidia,2014,"10,890,000,000.00"
nvidia,2013,"9,100,000,000.00"
nvidia,2012,"7,660,000,000.00"
nvidia,2011,"8,460,000,000.00"
nvidia,2010,"8,940,000,000.00"
nvidia,2009,"10,360,000,000.00"
nvidia,2008,"4,330,000,000.00"
nvidia,2007,"18,900,000,000.00"
nvidia,2006,"13,150,000,000.00"
nvidia,2005,"6,250,000,000.00"
nvidia,2004,"3,910,000,000.00"
nvidia,2003,"2,500,000,000.00"
nvidia,2002,"1,200,000,000.00"
nvidia,2001,"6,440,000,000.00"
nvidia,2000,"2,220,000,000.00"
nvidia,1999,"960,000,000.00"
apple,2026,"4,979,000,000,000.00"
apple,2025,"3,997,000,000,000.00"
apple,2024,"3,766,000,000,000.00"
apple,2023,"2,994,000,000,000.00"
apple,2022,"2,066,000,000,000.00"
apple,2021,"2,901,000,000,000.00"
apple,2020,"2,255,000,000,000.00"
apple,2019,"1,287,000,000,000.00"
apple,2018,"746,070,000,000.00"
apple,2017,"860,880,000,000.00"
apple,2016,"608,960,000,000.00"
apple,2015,"583,610,000,000.00"
apple,2014,"643,120,000,000.00"
apple,2013,"500,740,000,000.00"
apple,2012,"499,690,000,000.00"
apple,2011,"377,510,000,000.00"
apple,2010,"297,090,000,000.00"
apple,2009,"190,980,000,000.00"
apple,2008,"75,990,000,000.00"
apple,2007,"174,030,000,000.00"
apple,2006,"72,980,000,000.00"
apple,2005,"60,790,000,000.00"
apple,2004,"26,050,000,000.00"
apple,2003,"7,880,000,000.00"
apple,2002,"5,160,000,000.00"
apple,2001,"7,710,000,000.00"
apple,2000,"5,130,000,000.00"
apple,1999,"16,570,000,000.00"
apple,1998,"5,540,000,000.00"
apple,1997,"1,680,000,000.00"
apple,1996,"2,600,000,000.00"
google,2026,"4,264,000,000,000.00"
google,2025,"3,802,000,000,000.00"
google,2024,"2,365,000,000,000.00"
google,2023,"1,756,000,000,000.00"
google,2022,"1,145,000,000,000.00"
google,2021,"1,917,000,000,000.00"
google,2020,"1,185,000,000,000.00"
google,2019,"921,130,000,000.00"
google,2018,"723,550,000,000.00"
google,2017,"729,450,000,000.00"
google,2016,"539,060,000,000.00"
google,2015,"528,160,000,000.00"
google,2014,"359,500,000,000.00"
microsoft,2026,"3,691,000,000,000.00"
microsoft,2025,"3,625,000,000,000.00"
microsoft,2024,"3,200,000,000,000.00"
microsoft,2023,"2,794,000,000,000.00"
microsoft,2022,"1,787,000,000,000.00"
microsoft,2021,"2,522,000,000,000.00"
microsoft,2020,"1,681,000,000,000.00"
microsoft,2019,"1,200,000,000,000.00"
microsoft,2018,"780,360,000,000.00"
microsoft,2017,"659,900,000,000.00"
microsoft,2016,"483,160,000,000.00"
microsoft,2015,"439,670,000,000.00"
microsoft,2014,"381,720,000,000.00"
microsoft,2013,"310,500,000,000.00"
microsoft,2012,"223,660,000,000.00"
microsoft,2011,"218,380,000,000.00"
microsoft,2010,"234,520,000,000.00"
microsoft,2009,"268,550,000,000.00"
microsoft,2008,"172,920,000,000.00"
microsoft,2007,"332,110,000,000.00"
microsoft,2006,"291,940,000,000.00"
microsoft,2005,"271,540,000,000.00"
microsoft,2004,"290,710,000,000.00"
microsoft,2003,"295,290,000,000.00"
microsoft,2002,"276,630,000,000.00"
microsoft,2001,"358,050,000,000.00"
microsoft,2000,"230,800,000,000.00"
microsoft,1999,"604,410,000,000.00"
microsoft,1998,"348,100,000,000.00"
microsoft,1997,"157,360,000,000.00"
microsoft,1996,"99,410,000,000.00"
amazon,2026,"2,752,000,000,000.00"
amazon,2025,"2,485,000,000,000.00"
amazon,2024,"2,352,000,000,000.00"
amazon,2023,"1,570,000,000,000.00"
amazon,2022,"856,940,000,000.00"
amazon,2021,"1,691,000,000,000.00"
amazon,2020,"1,634,000,000,000.00"
amazon,2019,"920,220,000,000.00"
amazon,2018,"737,460,000,000.00"
amazon,2017,"563,530,000,000.00"
amazon,2016,"356,310,000,000.00"
amazon,2015,"318,340,000,000.00"
amazon,2014,"144,310,000,000.00"
amazon,2013,"183,040,000,000.00"
amazon,2012,"113,890,000,000.00"
amazon,2011,"78,710,000,000.00"
amazon,2010,"81,180,000,000.00"
amazon,2009,"59,720,000,000.00"
amazon,2008,"21,990,000,000.00"
amazon,2007,"38,530,000,000.00"
amazon,2006,"16,330,000,000.00"
amazon,2005,"19,610,000,000.00"
amazon,2004,"18,140,000,000.00"
amazon,2003,"21,220,000,000.00"
amazon,2002,"7,320,000,000.00"
amazon,2001,"4,030,000,000.00"
amazon,2000,"5,550,000,000.00"
amazon,1999,"26,270,000,000.00"
amazon,1998,"17,050,000,000.00"
amazon,1997,"1,440,000,000.00"
tsmc,2026,"2,332,000,000,000.00"
tsmc,2025,"1,570,000,000,000.00"
tsmc,2024,"1,045,000,000,000.00"
tsmc,2023,"539,380,000,000.00"
tsmc,2022,"386,310,000,000.00"
tsmc,2021,"575,930,000,000.00"
tsmc,2020,"488,120,000,000.00"
tsmc,2019,"286,570,000,000.00"
tsmc,2018,"191,190,000,000.00"
tsmc,2017,"199,410,000,000.00"
tsmc,2016,"145,700,000,000.00"
tsmc,2015,"109,640,000,000.00"
tsmc,2014,"115,310,000,000.00"
tsmc,2013,"91,390,000,000.00"
tsmc,2012,"86,830,000,000.00"
tsmc,2011,"65,310,000,000.00"
